,VehicleMake,Emmissions
108,VOLKSWAGEN,29.066666666666666
35,FORD,26.467336683417084
80,PEUGEOT,25.35930735930736
92,SKODA,25.233333333333334
76,OPEL,20.52991452991453
102,TOYOTA,17.386321626617374
90,SEAT,17.323529411764707
69,MINI,11.705882352941176
75,NISSAN,11.655940594059405
42,HYUNDAI,11.35813953488372
85,RENAULT,9.221830985915492
34,FIAT,8.542168674698795
40,HONDA,7.284132841328414
4,AUDI,6.768844221105527
24,DAEWOO,6.589743589743589
22,CITROEN,6.235059760956175
63,MAZDA,6.177865612648222
70,MITSUBISHI,5.896551724137931
106,VAUXHALL,5.629834254143646
97,SUZUKI,5.267857142857143
